Easting,Northing,Elevation,Distance (m),origin,
407973.4939,1420162.021,24.63315656,218.0183258,Maptiler terrain provider,
407974.4916,1420161.957,24.61261584,219.0184021,Maptiler terrain provider,
407975.4893,1420161.893,24.59207513,220.0184937,Maptiler terrain provider,
407976.4869,1420161.83,24.57153441,221.0185699,Maptiler terrain provider,
407977.4846,1420161.766,24.5509937,222.0186615,Maptiler terrain provider,
407978.4823,1420161.702,24.53045299,223.0187378,Maptiler terrain provider,
407979.48,1420161.639,24.50991227,224.0188293,Maptiler terrain provider,
407980.4777,1420161.575,24.48937156,225.0189056,Maptiler terrain provider,
407981.4754,1420161.511,24.46883085,226.0189972,Maptiler terrain provider,
407982.4731,1420161.448,24.44829014,227.0190735,Maptiler terrain provider,
407983.4707,1420161.384,24.42774943,228.019165,Maptiler terrain provider,
407984.4684,1420161.32,24.40720872,229.0192413,Maptiler terrain provider,
407985.4661,1420161.257,24.38666801,230.0193329,Maptiler terrain provider,
407986.4638,1420161.193,24.3661273,231.0194092,Maptiler terrain provider,
407987.4615,1420161.129,24.34558659,232.0195007,Maptiler terrain provider,
407988.4592,1420161.066,24.32504588,233.019577,Maptiler terrain provider,
407989.4569,1420161.002,24.30450517,234.0196686,Maptiler terrain provider,
407990.4545,1420160.938,24.28396446,235.0197449,Maptiler terrain provider,
407991.4522,1420160.875,24.26342375,236.0198364,Maptiler terrain provider,
407992.4499,1420160.811,24.24288305,237.0199127,Maptiler terrain provider,
407993.4476,1420160.747,24.22234234,238.0200043,Maptiler terrain provider,
407994.4453,1420160.684,24.20180163,239.0200806,Maptiler terrain provider,
407995.443,1420160.62,24.18126093,240.0201721,Maptiler terrain provider,
407996.4407,1420160.556,24.16072022,241.0202484,Maptiler terrain provider,
407997.4383,1420160.493,24.14017952,242.02034,Maptiler terrain provider,
407998.436,1420160.429,24.11963881,243.0204163,Maptiler terrain provider,
407999.4337,1420160.365,24.09909811,244.0205078,Maptiler terrain provider,
408000.4314,1420160.302,24.07855741,245.0205994,Maptiler terrain provider,
408001.4291,1420160.238,24.0580167,246.0206757,Maptiler terrain provider,
408002.4268,1420160.174,24.037476,247.0207672,Maptiler terrain provider,
408003.4245,1420160.111,24.0169353,248.0208435,Maptiler terrain provider,
408004.4221,1420160.047,23.99639459,249.0209351,Maptiler terrain provider,
408005.4198,1420159.983,23.97585389,250.0210114,Maptiler terrain provider,
408006.4175,1420159.92,23.95531319,251.0211029,Maptiler terrain provider,
408007.4152,1420159.856,23.93477249,252.0211792,Maptiler terrain provider,
408008.4129,1420159.792,23.91423179,253.0212708,Maptiler terrain provider,
